author,review,rating,vote_count,date,reply
,,,,,
shamir akmad,"UI is \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb, and I love the setup of the Lyrics in every song, it is absolutely amazing! While Podcasts is not included I would say that the tunes and the palylists are fantastic. Suits me just fine. However it might be useful if a feature to hide songs (in a playlist) that were not downloaded will b...\nFull Review",Rated 4 stars out of five stars,241,6-Apr-20,
,,,,,
Caity Moore,"This used to be a 5 star for me, but Ive had nothing but trouble since the last update. (I use android) I had to delete my recently added playlist, because it was adding every single song I listened to, whether I downloaded it or not. My normal playlists got all mixed up, and music that I downloade...\nFull Review",Rated 1 stars out of five stars,77,10-Apr-20,
,,,,,
Emily,"Usually works fairly well. However, I have experienced a number of issues. (I use the Android app version). First of all, sometimes when I add a song to a playlist, it adds a completely different song from my library to that playlist, and I have to sign out and back in again to resolve the issue, wh...\nFull Review",Rated 2 stars out of five stars,133,7-Apr-20,
,,,,,
Nadia Peralta,I regret updating it to get dark theme. Now it keeps cutting out through the songs. That never happened before. Very upset that it sounds this way! Edit: I realized that the cutting off happens when using Bluetooth. If they can fix this then I will change my rating. Edit 2: It doesnt cut off when u...\nFull Review,Rated 4 stars out of five stars,30,6-Apr-20,
,,,,,
Super Z-Fresh,"I cant believe this is made by apple because it is one of the worst apps Ive ever used. It is constantly buggy. For example, sometimes when I add songs to a playlist, it adds the wrong song completely so I have to add songs to my playlists from my computer which isnt always possible. I am disappo...\nFull Review",Rated 1 stars out of five stars,,10-Apr-20,
,,,,,
Israel Bermudez,I dont know what you guys are doing in regards to the sounds quality. But the sound quality is leaps and bounds ahead of spotifys even with spotify set for maximum quality. I cant wait for a beta spot to open up. Highly impressed by the sound. The UI could use some work but its not the worse.,Rated 5 stars out of five stars,2,10-Apr-20,
,,,,,
Jan Makuc,App is good but not great (as it is on an iPhone) but still... it works. The only problem is that when you download your music it adds the album a few days later than the song. You can listen to the song but you cant check its album if youre offline. Overall Im satisfied with the app. I love the ...\nFull Review,Rated 5 stars out of five stars,215,4-Apr-20,
,,,,,
Liam Oates,"It worked great for about a year and then a couple days ago, everything stopped working, I cant play my downloaded music, I cant stream music, I cant play radio stations, only on my Google pixel though, my laptop and iPhone work great with apple music still, but my pixel is my primary device and ...\nFull Review",Rated 3 stars out of five stars,88,3-Apr-20,
,,,,,
Jack Daniels,This app pales in comparison to the iOS version. Its glitchy and inconsistent. When you tap a song you have to wait for what feels like 10 seconds+ sometimes. On iOS its instant Album art and even their names often take long to load up and you cant even see the number of songs on a playlist or th...\nFull Review,Rated 1 stars out of five stars,55,9-Apr-20,
,,,,,
ordinary dude,"Bugs. Bugs are everywhere, you literally have to restart the application each time you want to do something. Disgusting. Unusable. Terrible. Checking the lyrics almost always leads app to no longer be able to show you your library. Player in application randomly disappears time after time. Interface...\nFull Review",Rated 1 stars out of five stars,63,5-Apr-20,
,,,,,
Arinelly,"It\s pretty okay overall and I haven\t had any problems with anything until recently, I tried playing specific songs in my playlist but instead it skipped a bunch of songs saying this content is not authorized even though I was able to listen to it before! 3 stars are taken off for that as it says...\nFull Review",Rated 2 stars out of five stars,120,7-Apr-20,
,,,,,
Kassidy Knight,I like apple music but it plays the wrong songs. Of I go into lyrics and look at the words the words are totally different from the song and the song thats playing isnt even the song that is supposed to be playing. Ive restarted Ive done everything I can think of and nothing works.,Rated 3 stars out of five stars,3,7-Apr-20,
,,,,,
Jazmine Decker,Has EVERY song Ive ever searched for. 9/10 songs have follow along lyrics. Lose your place? Click on the words & itll rewind.. Has radio stations. Custom suggestions.. Play it in the background. Lock your screen.. Lost phone? Its all good just log in on your new one & your music & playlist will b...\nFull Review,Rated 5 stars out of five stars,2,9-Apr-20,
,,,,,
Tazzmanian Devill,"Im changing my 5 stars to 3 stars coz after so long,ther is still no option to sort music playlist according to alphabets for example in my playlists edit. Do you know how much how a hassle it was to drag songs according to alphabets if you have over 1000 songs and the song that we want to drag beg...\nFull Review",Rated 3 stars out of five stars,31,3-Apr-20,
,,,,,
JNZ,Ive tryed about 10 times just to set up a apple Id for nothing because everytime I did it didnt work and if I had an apple Id with Verizon it would be free but you can still bye the app without version and with out an apple Id but it would be better the other way. Over all it was just the process ...\nFull Review,Rated 4 stars out of five stars,39,9-Apr-20,
,,,,,
Ricky Milne,"**Mar update 2 - hit and miss but sometimes works now!** Voice commands no longer work, particularly annoying when using with android auto. Asking to play a song results in the app searching but not actually playing. Rolling back to an earlier version works fine 2.9.0 (814). Not all artists/albums a...\nFull Review",Rated 4 stars out of five stars,63,5-Apr-20,
,,,,,
