,author,review,rating,date,scores_vader,compound_vader,score_vader,polarity_textblob,subjectivity_textblob,score_textblob
0,Sudipta Mukherjee,"Great app... But consumes a lot of Data. There is also a room for improvement in the searching mechanism. I mean I cant find some of the old songs like those of Kishore Kumar. I searched a lot but could neither find the album sharabi nor its songs. Those are really close to my heart. Please, can u ...\nFull Review",Rated 4 stars out of five stars,"April 9, 2020","{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.8047}",0.8047,Positive,0.196875,0.459375,Positive
1,Rishabh Narayan,"I have been using Gaana for the last 2 years. The sound of the Gaana is very excellent. But now, most of it hangs or gets stuck. Whenever I want to listen to songs, the song does not play in it, just loading. And it also spoils my mind to listen to the song. So thats why I am removing it and downlo...\nFull Review",Rated 2 stars out of five stars,"April 1, 2020","{'neg': 0.062, 'neu': 0.857, 'pos': 0.081, 'compound': 0.3087}",0.3087,Positive,0.475,0.4916666666666667,Positive
2,Kirti Shree,Eversince the last update the app keeps crashing. It doesnt open up and if it does it just stops. Kindly look to the problem and fix it as soon as possible. I would have surely rated it a 5 but because of what I have been experiencing since a few days I feel highly disappointed.,Rated 2 stars out of five stars,"March 31, 2020","{'neg': 0.139, 'neu': 0.789, 'pos': 0.073, 'compound': -0.5704}",-0.5704,Negative,0.021428571428571446,0.6007936507936508,Positive
3,Spandan Maheshmale,"Its almost now third year that Im using gaana and i think this is the first time Im facing a problem in gaana,everytime i put a new theme on my gaana app.....the next time i open it the theme is gone.I thought this would be some normal problem so i tried it doing mannier times but still i face th...\nFull Review",Rated 5 stars out of five stars,"April 8, 2020","{'neg': 0.066, 'neu': 0.934, 'pos': 0.0, 'compound': -0.4019}",-0.4019,Negative,0.0893939393939394,0.32297979797979803,Positive
4,Gaurab Aditya Dhar,"Everything is good except the sharing of lyrics posters. It always says direct share not available and allows for sharing via bluetooth, print services and Messages app (no support for any social media app including WhatsApp Messenger). Please fix the issue. Well, issue resolved with the current u...\nFull Review",Rated 5 stars out of five stars,"March 31, 2020","{'neg': 0.0, 'neu': 0.678, 'pos': 0.322, 'compound': 0.9477}",0.9477,Positive,0.12666666666666665,0.37333333333333335,Positive
5,choti jaiswal,"Theres a big which I encountered. The downloaded song wont load on their own. when I click on that downloaded which I want to play ,related image appears but its stuck at 0:00 but when I press the back button,that downloaded song starts playing almost instantly without any difficulty. Hope it hel...\nFull Review",Rated 4 stars out of five stars,"March 31, 2020","{'neg': 0.102, 'neu': 0.761, 'pos': 0.138, 'compound': -0.0013}",-0.0013,Negative,0.12,0.4333333333333333,Positive
6,Vikrant Singh,The song prediction feature where the app plays songs similar to the one you are listening is excellent. The Equalizer also works better than other apps. Other options like Crossfade etc. also make the app worthy of 5 Stars. The most impressive feature is the apps very good song prediction feature-...\nFull Review,Rated 4 stars out of five stars,"April 9, 2020","{'neg': 0.0, 'neu': 0.679, 'pos': 0.321, 'compound': 0.9627}",0.9627,Positive,0.4437037037037037,0.6588888888888891,Positive
7,Raman Gulati,"1. Someone has taken my identity on the App. 2. Cannot log in or change password. 3. My name also changed. 4. I get OTP for log in, but I get error  OTP expired. 5. From Customer service - no response. May have to just uninstall ultimately April 2 - received feedback from support. Correction done....\nFull Review",Rated 5 stars out of five stars,"April 2, 2020","{'neg': 0.108, 'neu': 0.832, 'pos': 0.06, 'compound': -0.4215}",-0.4215,Negative,0.0,1.0,Negative
8,JEEVAN BONDAR,"Hey, gaana team i like this app but i dont like one thing when i want to remove any song from the recently played list i need to tap on three dot corner of song name and then i select remove song from the list... Its really annoying sometimes...instead of that if you guys add feature like swipe to ...\nFull Review",Rated 3 stars out of five stars,"April 1, 2020","{'neg': 0.06, 'neu': 0.749, 'pos': 0.192, 'compound': 0.7789}",0.7789,Positive,-0.4,0.575,Negative
9,Shrawan Kumar,"No separate Play list can be generated for separate collection of any queue. When I searched 2000s hit songs app provides a list of 100 songs but when want to save these songs in a separate list, I can not save in separate list because this app merge with previous collection. Please do the needful. ...\nFull Review",Rated 3 stars out of five stars,"March 31, 2020","{'neg': 0.025, 'neu': 0.742, 'pos': 0.232, 'compound': 0.9201}",0.9201,Positive,-0.16666666666666666,0.16666666666666666,Negative
10,Akshay Khandelwal,"I have reached out to you for a issue. The issue is whenever I try to download any song it goes to the download queue and never download. You asked me to write to you via app. I did that too, but have received no response from your side. I guess, I should make my peace with you pathatic service and ...\nFull Review",Rated 1 stars out of five stars,"April 1, 2020","{'neg': 0.045, 'neu': 0.861, 'pos': 0.095, 'compound': 0.4854}",0.4854,Positive,0.0,0.0,Negative
11,Akhila D,"When I close the app and play the music, it randomly stops (not a network issue I checked). When I pause the song and press play, the song starts from the beginning all over again and stops at some random point again.Ive experienced this issue several times and I hope they fix this ASAP",Rated 1 stars out of five stars,"April 7, 2020","{'neg': 0.058, 'neu': 0.801, 'pos': 0.14, 'compound': 0.6705}",0.6705,Positive,-0.04999999999999999,0.475,Negative
12,vikram jangid,I love gaana app so much and I given it 5 star but I changed my review becouse after update its app going crashing so much time playing a song and its says gaana stop running send a debug report I sended but nothing happen. Its nice app I have gaana plus I love it so much. But today its gone irr...\nFull Review,Rated 2 stars out of five stars,"April 1, 2020","{'neg': 0.088, 'neu': 0.745, 'pos': 0.167, 'compound': 0.7349}",0.7349,Positive,0.3666666666666667,0.4666666666666667,Positive
13,vardhan sanka,Over all experience is good. I am using this app from last two years and now I am ready to use plus version also. Only thing I want to tell is I am not able to find some tracks which are most famous and not able to find lyrics for some songs which are also having millions of impressions.,Rated 5 stars out of five stars,"March 31, 2020","{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.765}",0.765,Positive,0.175,0.6145833333333334,Positive
