,author,review,rating,date,scores_vader,compound_vader,score_vader,polarity_textblob,subjectivity_textblob,score_textblob
0,b'Mustapha Abduljalal',"b""Well, I have quiet a couple of problems with the application which are; 1. Most offline songs I download don't play. 2. I can't access my offline songs when I'm not connected to the internet why then is it called offline?\xf0\x9f\xa4\xa6 3. I can't control play , pause , next and previous with my earphones which ...\nFull Review""",b'Rated 2 stars out of five stars',"b'April 7, 2020'","{'neg': 0.184, 'neu': 0.816, 'pos': 0.0, 'compound': -0.8104}",-0.8104,Negative,0.08333333333333334,0.25,Positive
1,b'William Teichroeb',"b'I gave this app a 5 star once, but I changed it to 3. I had this app a while ago and it worked amazingly good for a free music offline app. I uninstalled it after a while and tried a different app but came back to this one because it was better. After I reinstalled it, I try to download songs and it...\nFull Review'",b'Rated 2 stars out of five stars',"b'April 9, 2020'","{'neg': 0.027, 'neu': 0.772, 'pos': 0.201, 'compound': 0.9222}",0.9222,Positive,0.32,0.5,Positive
2,b'Cal Brown',"b""I love this app, especially since I don't own a large music collection! I wish this app had a few more features though. For instance, I wish you were able to repeat one song at a time. Another useful feature would be to have an Albums page on the Library page. I also wish you were able to remove son...\nFull Review""",b'Rated 3 stars out of five stars',"b'April 10, 2020'","{'neg': 0.0, 'neu': 0.76, 'pos': 0.24, 'compound': 0.9381}",0.9381,Positive,0.3297619047619047,0.542063492063492,Positive
3,b'ZaydyPlayz',"b'EDIT: amazing where they have taken this app, fixed all of the major issues so as promised, 5 \xf0\x9f\x8c\x9f :D____________________________________________ good but some song names dont match up. some song remixes not available. constant crashing. also, just found out that when putting a song on repeat you have...\nFull Review'",b'Rated 5 stars out of five stars',"b'March 22, 2020'","{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.6415}",0.6415,Positive,0.3232142857142857,0.5619047619047619,Positive
4,b'Anjum Shadani',"b""This app is absolutely amazing, it's free and easy to use and is usable on and offline, but since the new update some of the songs I have downloaded are not playing, and need to be constantly redownload Ed in order to play, it's annoying. If that becomes fixed it would be perfect in my opinion!""",b'Rated 4 stars out of five stars',"b'March 29, 2020'","{'neg': 0.097, 'neu': 0.682, 'pos': 0.221, 'compound': 0.8602}",0.8602,Positive,0.2337121212121212,0.6776515151515152,Positive
5,b'Noukhaa',"b""Since the last update it has been experiencing MANY issues. I know it's free but before the most recent update it was working well enough but now when i open some apps it stops the music and when i go to the app it can't play the music after i stopped it and the music just freezes. I like the slight...\nFull Review""",b'Rated 3 stars out of five stars',"b'March 24, 2020'","{'neg': 0.121, 'neu': 0.758, 'pos': 0.122, 'compound': 0.2723}",0.2723,Positive,0.2,0.4452380952380953,Positive
6,b'Camila_Bardi\xc3\xb1as',"b""I've tried a lot of apps before and they are basically garbage, but since I downloaded this awesome app I can't stop listening to music, you can text or watch anything while listening to your favorite song. Plus you can enjoy music in every language. Honestly, this is so good!!!""",b'Rated 5 stars out of five stars',"b'March 27, 2020'","{'neg': 0.0, 'neu': 0.653, 'pos': 0.347, 'compound': 0.9759}",0.9759,Positive,0.7,0.8,Positive
7,b'juancamilo aucique',"b""GREAT! EXCELLENT. BUT I ONLY WORRY ABOUT HOW LONG WILL IT TAKE TILL DEEZER OR SPOTIFY STEAL THIS GREAT APP AND AVOID US TO LISTEN TO MUSIC. PLEASE ESOUND DON'T DO IT. SOMETHING ELSE: ENRICH YOUR PLATFORM WITH MORE MUSIC PLEASE. THANK YOU!""",b'Rated 5 stars out of five stars',"b'April 10, 2020'","{'neg': 0.198, 'neu': 0.471, 'pos': 0.331, 'compound': 0.8918}",0.8918,Positive,0.5625,0.7333333333333334,Positive
8,b'Syed Mustafain',b'Alot of bugs. And you spend so much time creating a playlist and in a blink of an eye all that work is destroyed. It keeps crashing. Please fix this.',b'Rated 1 stars out of five stars',"b'April 10, 2020'","{'neg': 0.097, 'neu': 0.758, 'pos': 0.145, 'compound': 0.144}",0.14400000000000002,Positive,0.2,0.2,Positive
9,b'Jonathan Li',"b""Listen to music for free offline with pretty good quality. There are some minor issues though. Searching for music doesn't work perfectly and making all the songs to be at the same volume would be nice too. I'm currently manually adjusting the volume.""",b'Rated 5 stars out of five stars',"b'March 27, 2020'","{'neg': 0.09, 'neu': 0.684, 'pos': 0.226, 'compound': 0.8091}",0.8091,Positive,0.3625,0.6406250000000001,Positive
10,b'Elijah Fernandes',b'Like the option of no ads. But when playing the next track of an album it takes a long time to start playing. And all the music had to be shuffled which I hate.',b'Rated 2 stars out of five stars',"b'March 31, 2020'","{'neg': 0.063, 'neu': 0.833, 'pos': 0.103, 'compound': 0.1027}",0.1027,Positive,-0.2833333333333334,0.43333333333333335,Negative
11,b'Adaninggar F',"b""This app is awesome!! I'm happy i found this one. Help me lots to listen music offline anytime especially during working. Not too much ads. Easy to find music i like. Love it.""",b'Rated 5 stars out of five stars',"b'April 9, 2020'","{'neg': 0.032, 'neu': 0.52, 'pos': 0.448, 'compound': 0.9647}",0.9647,Positive,0.4888888888888889,0.7722222222222221,Positive
12,b'Amrith Dev',"b""The only reason i gave it 4 stars instead of 5 is becuase of the many small bugs. I shouldn't be complaining though becuase its basically spotify premium for free.""",b'Rated 4 stars out of five stars',"b'March 29, 2020'","{'neg': 0.0, 'neu': 0.94, 'pos': 0.06, 'compound': 0.1511}",0.1511,Positive,0.1625,0.675,Positive
13,b'Esmatullah Mirzaei',"b""Good app but the problem is when you pause the music when you're using headphones you have to go back in the app to play again.""",b'Rated 4 stars out of five stars',"b'April 2, 2020'","{'neg': 0.116, 'neu': 0.783, 'pos': 0.101, 'compound': -0.1154}",-0.1154,Negative,0.35,0.30000000000000004,Positive
