,Unnamed: 0.1.1,author,review,rating,date,scores_vader,compound_vader,score_vader,polarity_textblob,subjectivity_textblob,score_textblob
0,1,shamir akmad,"UI is \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb, and I love the setup of the Lyrics in every song, it is absolutely amazing! While Podcasts is not included I would say that the tunes and the palylists are fantastic. Suits me just fine. However it might be useful if a feature to hide songs (in a playlist) that were not downloaded will b...\nFull Review",Rated 4 stars out of five stars,06-Apr-20,"{'neg': 0.025, 'neu': 0.725, 'pos': 0.25, 'compound': 0.945}",0.945,Positive,0.473333333,0.58,Positive
1,3,Caity Moore,"This used to be a 5 star for me, but Ive had nothing but trouble since the last update. (I use android) I had to delete my recently added playlist, because it was adding every single song I listened to, whether I downloaded it or not. My normal playlists got all mixed up, and music that I downloade...\nFull Review",Rated 1 stars out of five stars,10-Apr-20,"{'neg': 0.0, 'neu': 0.947, 'pos': 0.053, 'compound': 0.438}",0.438,Positive,-0.020238095,0.271825397,Negative
2,5,Emily,"Usually works fairly well. However, I have experienced a number of issues. (I use the Android app version). First of all, sometimes when I add a song to a playlist, it adds a completely different song from my library to that playlist, and I have to sign out and back in again to resolve the issue, wh...\nFull Review",Rated 2 stars out of five stars,07-Apr-20,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.6124}",0.6124,Positive,0.25,0.497222222,Positive
3,7,Nadia Peralta,I regret updating it to get dark theme. Now it keeps cutting out through the songs. That never happened before. Very upset that it sounds this way! Edit: I realized that the cutting off happens when using Bluetooth. If they can fix this then I will change my rating. Edit 2: It doesnt cut off when u...\nFull Review,Rated 4 stars out of five stars,06-Apr-20,"{'neg': 0.148, 'neu': 0.822, 'pos': 0.03, 'compound': -0.7328}",-0.7328,Negative,-0.275,0.625,Negative
4,9,Super Z-Fresh,"I cant believe this is made by apple because it is one of the worst apps Ive ever used. It is constantly buggy. For example, sometimes when I add songs to a playlist, it adds the wrong song completely so I have to add songs to my playlists from my computer which isnt always possible. I am disappo...\nFull Review",Rated 1 stars out of five stars,10-Apr-20,"{'neg': 0.122, 'neu': 0.878, 'pos': 0.0, 'compound': -0.802}",-0.802,Negative,-0.28,0.726666667,Negative
5,11,Israel Bermudez,I dont know what you guys are doing in regards to the sounds quality. But the sound quality is leaps and bounds ahead of spotifys even with spotify set for maximum quality. I cant wait for a beta spot to open up. Highly impressed by the sound. The UI could use some work but its not the worse.,Rated 5 stars out of five stars,10-Apr-20,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.6734}",0.6734,Positive,0.28,0.58,Positive
6,13,Jan Makuc,App is good but not great (as it is on an iPhone) but still... it works. The only problem is that when you download your music it adds the album a few days later than the song. You can listen to the song but you cant check its album if youre offline. Overall Im satisfied with the app. I love the ...\nFull Review,Rated 5 stars out of five stars,04-Apr-20,"{'neg': 0.128, 'neu': 0.722, 'pos': 0.15, 'compound': 0.4037}",0.4037,Positive,0.1375,0.50625,Positive
7,15,Liam Oates,"It worked great for about a year and then a couple days ago, everything stopped working, I cant play my downloaded music, I cant stream music, I cant play radio stations, only on my Google pixel though, my laptop and iPhone work great with apple music still, but my pixel is my primary device and ...\nFull Review",Rated 3 stars out of five stars,03-Apr-20,"{'neg': 0.079, 'neu': 0.831, 'pos': 0.09, 'compound': 0.3847}",0.3847,Positive,0.5,0.75,Positive
8,17,Jack Daniels,This app pales in comparison to the iOS version. Its glitchy and inconsistent. When you tap a song you have to wait for what feels like 10 seconds+ sometimes. On iOS its instant Album art and even their names often take long to load up and you cant even see the number of songs on a playlist or th...\nFull Review,Rated 1 stars out of five stars,09-Apr-20,"{'neg': 0.0, 'neu': 0.936, 'pos': 0.064, 'compound': 0.4215}",0.4215,Positive,-0.025,0.533333333,Negative
9,19,ordinary dude,"Bugs. Bugs are everywhere, you literally have to restart the application each time you want to do something. Disgusting. Unusable. Terrible. Checking the lyrics almost always leads app to no longer be able to show you your library. Player in application randomly disappears time after time. Interface...\nFull Review",Rated 1 stars out of five stars,05-Apr-20,"{'neg': 0.2, 'neu': 0.776, 'pos': 0.023, 'compound': -0.8689}",-0.8689,Negative,-0.5,0.78125,Negative
