,author,review,rating,date,scores_vader,compound_vader,score_vader,polarity_textblob,subjectivity_textblob,score_textblob,strenth/opportunity,weakness/threats,classified_reviews
0,Kira Calvin,"Listen, its a great app, wide selection, gives good suggestions, easy layout, I could go on and on... BUT theres one glaring issue: no music library. I know that the app is supposed to merge with Google play at some point, so that people with subscriptions can access the music they already had. Th...\nFull Review",Rated 4 stars out of five stars,09-Apr-20,"{'neg': 0.047, 'neu': 0.792, 'pos': 0.161, 'compound': 0.6956}",0.6956,Positive,0.458333333,0.645833333,Positive,1,,1
1,Zephadus Joltspark,"Lets get right to it: This app is missing one feature that would otherwise have me switch from Spotify. It needs an option to download songs when I press the Like button, or to download all songs on a playlist. Just generally make downloading easier. Even just adding a download button to the main c...\nFull Review",Rated 2 stars out of five stars,10-Apr-20,"{'neg': 0.038, 'neu': 0.87, 'pos': 0.092, 'compound': 0.4767}",0.4767,Positive,0.075595238,0.354761905,Positive,1,,1
2,Decu Dragos Valentin,I love the diversity of music and the Radio function. I like the recommendations it makes based on taste and that it helps me discover new artists and songs. I don\t like the way the app handles the loss of internet. I have to restart it in order to access the offline Playlists. I miss the variety...\nFull Review,Rated 3 stars out of five stars,08-Apr-20,"{'neg': 0.085, 'neu': 0.728, 'pos': 0.187, 'compound': 0.8126}",0.8126,Positive,0.318181818,0.527272727,Positive,0,,0
3,Timothy Egan,"Update: After using the app for a couple of days now, I couldn stand how many ads play in this app - more so it seems than the YouTube app. Why would I pay for this? Too many -s over +s. It needs a standard option in most if not all other music streaming apps. Please allow the app to continue pla...\nFull Review",Rated 2 stars out of five stars,07-Apr-20,"{'neg': 0.023, 'neu': 0.871, 'pos': 0.106, 'compound': 0.6369}",0.6369,Positive,0.3125,0.395833333,Positive,1,,1
4,Nicholas Weir,"I have such a wide variety of Music that I listen to, and this app learns what I like, and more importantly what I like during different times! Hah, works great, I am an Electrician and I get a kick out of the other trades on the job giving me a funny look when my songs go from 50s ,country, Doo-wo...\nFull Review",Rated 5 stars out of five stars,06-Apr-20,"{'neg': 0.0, 'neu': 0.731, 'pos': 0.269, 'compound': 0.9458}",0.9458,Positive,0.215625,0.640625,Positive,0,,0
5,Noah Baxley,"Very good app and the UI keeps getting new updates that make the app much more appealing and easy to use. Only bad thing is that artists that Ive listened to before on the platform are continually getting removed and it seems Im not the only case. Also, it seems that the app is preferenced toward ...\nFull Review",Rated 2 stars out of five stars,08-Apr-20,"{'neg': 0.054, 'neu': 0.848, 'pos': 0.098, 'compound': 0.4323}",0.4323,Positive,0.222462121,0.716818182,Positive,0,,0
6,Taylor Brown,"I love how I can build my own playlist, that it builds accurate playlist for me based on one song that I might choose, that I can access all the new albums for my favorite artist without having to purchase them, and that theres such a wide selection of anything you can think of. I switched over to ...\nFull Review",Rated 5 stars out of five stars,09-Apr-20,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.802}",0.802,Positive,0.290909091,0.655411255,Positive,0,,0
7,Rayne Nelson,"My absolute favorite place to download/listen to music. With so many creative ways to discover new music or even just mix it up, I couldnt be happier with the personalized music they give. Ive tried everything and if youre someone like me whose music can vary, its the perfect place. I couldnt r...\nFull Review",Rated 5 stars out of five stars,08-Apr-20,"{'neg': 0.045, 'neu': 0.756, 'pos': 0.199, 'compound': 0.8625}",0.8625,Positive,0.472727273,0.809090909,Positive,0,,0
8,Carlos Feliciano,I play music generally by casting from the YT music app from my phone to my chromecast audio. On separate occasions the app did not accurately show the song that was playing. This happened after less than an hour of using the app. I also listen to different genres during the day depending on the act...\nFull Review,Rated 2 stars out of five stars,10-Apr-20,"{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.4939}",0.4939,Positive,-0.079166667,0.45,Negative,1,,1
9,Jaco,"The way the library is handled is awful. The downloaded songs page really slows me down when finding a certain album, song, or playlist fast. If possible, just eliminate this page and all the downloaded albums will appear on albums, same goes for playlists and songs. If the device is offline, just d...\nFull Review",Rated 3 stars out of five stars,10-Apr-20,"{'neg': 0.08, 'neu': 0.883, 'pos': 0.037, 'compound': -0.34}",-0.34,Negative,-0.077324263,0.540759637,Negative,,0,2
10,Karl Cleveley,"As a Premium YouTube subscriber, it has a great selection of uninterrupted music and playlists, however the original TV series content has much to be desired. Great that the content is original (no Netflix programming here), but aimed at teenage audiences, which it is sad. The production is poor and...\nFull Review",Rated 2 stars out of five stars,06-Apr-20,"{'neg': 0.138, 'neu': 0.697, 'pos': 0.165, 'compound': -0.3291}",-0.3291,Negative,0.183333333,0.533333333,Positive,,0,2
11,Keith Foster,"Great in that its familiar and easy to use, like regular YouTube, and for looking up specific songs and making playlists. Recommendations are good and have led me to new artists I now enjoy. I use Spotify and, to a lesser extent, Pandora; however I find myself using TYMusic more and more. Google: P...\nFull Review",Rated 4 stars out of five stars,06-Apr-20,"{'neg': 0.0, 'neu': 0.747, 'pos': 0.253, 'compound': 0.9393}",0.9393,Positive,0.349517906,0.485436533,Positive,0,,0
12,Mr. Blue,its mediocre. it does not divide the music up into song genre like other apps do. You cant share one song by itself. it sends people a whole playlist. No one wants to get like 10 songs from you. ridiculous. I just want to send one song and theres no way to do it. other than that it does not talk t...\nFull Review,Rated 1 stars out of five stars,07-Apr-20,"{'neg': 0.127, 'neu': 0.782, 'pos': 0.091, 'compound': -0.3586}",-0.3586,Negative,-0.113888889,0.541666667,Negative,,1,3
13,David Schopfer,A fraction of the functionality of GPM. And why does it insist on using what videos Ive watched for music suggestions? They are not the same. I deleted a playlist here and it deleted it from YouTube. So dumb. It wasnt a music playlist and now all my videos are gone. The integration on the BACKEND ...\nFull Review,Rated 1 stars out of five stars,07-Apr-20,"{'neg': 0.063, 'neu': 0.937, 'pos': 0.0, 'compound': -0.5563}",-0.5563,Negative,-0.1875,0.3125,Negative,,0,2
14,Felicity Winter,"The concept is awesome and the suggestions are very good. BUT the endless playlist is not endless and once it reaches last song (ironic given it said endless), every other play method is stuck on last song. You have to force close and clear cache to reset it. BUT the app is unreliable and frus...\nFull Review",Rated 1 stars out of five stars,09-Apr-20,"{'neg': 0.038, 'neu': 0.77, 'pos': 0.192, 'compound': 0.8379}",0.8379,Positive,0.18975,0.582166667,Positive,1,,1
15,Jayx Official,"This app is more useful then others, because you get YouTube premium with it. So whats not to love? I pay $9 a month for all the music and no ads on YouTube so this is great. But, one downfall, it takes way to long to find less famous artists, oh and the videos that pop up when Im searching for mus...\nFull Review",Rated 4 stars out of five stars,09-Apr-20,"{'neg': 0.079, 'neu': 0.795, 'pos': 0.126, 'compound': 0.5081}",0.5081,Positive,0.34047619,0.473809524,Positive,0,,0
17,Olaolu Ojo,"1.The lyrics re not showing for most songs. 2. Theres no easy way to add a song to your library without going into options, 3. You cant remove particular songs from an album once youve added the album to your library. This is very annoying because on albums where I like most of the songs except li...\nFull Review",Rated 3 stars out of five stars,08-Apr-20,"{'neg': 0.083, 'neu': 0.831, 'pos': 0.086, 'compound': 0.0534}",0.0534,Positive,-0.01,0.633333333,Negative,1,,1
18,Erik Oto,"This is a good app. However, there is a lot of improvements to be made. First there should be a search option for a song in a playlist. I dont know how there isnt one already. I also believe the layout of the app could be improved to become more convenient and easier. Other than that, I still slight...\nFull Review",Rated 3 stars out of five stars,01-Apr-20,"{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.885}",0.885,Positive,0.33125,0.452083333,Positive,1,,1
19,Sampson Oliver,"Well this doesnt happen often, but this is just a terrible music app. Where to begin... 1. Itd rather show you new content on launch than YOUR content 2. YOUR library is in the hardest to press corner, and itll show YouTube videos first (all the random trash youve watched) and simple artist/albu...\nFull Review",Rated 1 stars out of five stars,10-Apr-20,"{'neg': 0.073, 'neu': 0.899, 'pos': 0.027, 'compound': -0.5574}",-0.5574,Negative,-0.222727273,0.529004329,Negative,,1,3
20,Tibor Danilics,"Great, better audio quality compared to regular youtube, but the playlist management is terrible. Please make it like on the regular youtube app, with a direct button on the player screen. Also it does not show if a song is already added to a palylist. The hotlist is unuseable, ignores my taste, it ...\nFull Review",Rated 1 stars out of five stars,06-Apr-20,"{'neg': 0.107, 'neu': 0.724, 'pos': 0.169, 'compound': 0.4404}",0.4404,Positive,0.066666667,0.467307692,Positive,1,,1
21,P-51WWII1942,"I do like the app and the convenience of listening to YouTube videos. However, there are multiple flaws in this app that I find most aggravating. A prime example is downloading full albums. This app I feel doesn\t truly download songs. When I download an album, it would work sometimes then the alb...\nFull Review",Rated 1 stars out of five stars,02-Apr-20,"{'neg': 0.046, 'neu': 0.854, 'pos': 0.1, 'compound': 0.4417}",0.4417,Positive,0.283333333,0.35,Positive,1,,1
22,Hyde Takarai,"Worst issue is the Song is unavailable bug where you add a song to a playlist only to be told you can\t listen to it. You can search it up manually every time and be able to listen, but the second you try to do it from a playlist it disappears yet again. Sometimes it\ll work from a playlist and th...\nFull Review",Rated 1 stars out of five stars,02-Apr-20,"{'neg': 0.092, 'neu': 0.908, 'pos': 0.0, 'compound': -0.6858}",-0.6858,Negative,-0.125,0.65625,Negative,,0,2
23,My name,Absolutely love this. I have premium and with regular YouTube and this. It plays videos or just the songs. Now I download the music but for some reason at times Im having to redownload them over and over again but I still have plenty of room left for downloads. Not sure why I keep running into this...\nFull Review,Rated 5 stars out of five stars,05-Apr-20,"{'neg': 0.042, 'neu': 0.884, 'pos': 0.074, 'compound': 0.2031}",0.2031,Positive,0.0625,0.391452991,Positive,0,,0
24,Gensarcastic,"Its essentially just youtube, You cant play music in the background unless u pay for it. Which is a complete deal breaker, why have a music app then? When i can just play it on YouTube instead. I really thought that this will be good competition against Spotify but i was proven wrong as it cant even...\nFull Review",Rated 2 stars out of five stars,09-Apr-20,"{'neg': 0.146, 'neu': 0.82, 'pos': 0.034, 'compound': -0.6636}",-0.6636,Negative,0.1,0.48,Positive,,1,3
25,Robert Estrada,"Great app, only wish you could set it as your default in my Google Assistant. Kind of annoying seeing as how Im pretty sure Google is trying to move away from Google play music anyways, but every time I ask my assistant to play music I have to specify YouTube music and cant just set it as a defaul...\nFull Review",Rated 4 stars out of five stars,09-Apr-20,"{'neg': 0.029, 'neu': 0.772, 'pos': 0.2, 'compound': 0.8442}",0.8442,Positive,0.225,0.906481481,Positive,1,,1
26,Niall O,"If Google wants to replace Google Play Music with this app, it needs to do a lot of work, as it feels a bit half baked. Shuffling a playlist wasnt a great experience, and theres no option to import Music playlists without a huge amount of rigmarole (using an external service!) So please, do Not re...\nFull Review",Rated 3 stars out of five stars,09-Apr-20,"{'neg': 0.13, 'neu': 0.787, 'pos': 0.084, 'compound': -0.4127}",-0.4127,Negative,0.246666667,0.403333333,Positive,,0,2
27,Samir,"Lyrics not available for a lot of songs including even the popular ones. So, five things that will make it any good: 1. Better recommendations and curated playlists. 2. Some way to view lyrics of currently playing song as they play. 3. Some way to control music on pc through the Android app (like Sp...\nFull Review",Rated 3 stars out of five stars,01-Apr-20,"{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.8957}",0.8957,Positive,0.32,0.56,Positive,1,,1
28,Christopher Copping,"The whole idea was a seamless transition from Google play music to YouTube music. However, I can\t find any of my music on YouTube music. Can\t find my playlists. When I play a song YouTube music wants to play the music video version, but I\m usually working or walking so WHY would I need the musi...\nFull Review",Rated 1 stars out of five stars,31-Mar-20,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.4767}",0.4767,Positive,0.0625,0.2125,Positive,0,,0
29,Nathan Weatherspoon,"What I like is how it is directly connected with my YouTube account so it saves the songs Ive liked on it. It makes it much easier to keep up with the songs I like as well, another thing thats great is how the free version is much better than most other music apps while also having a great paid ve...\nFull Review",Rated 5 stars out of five stars,07-Apr-20,"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.9779}",0.9779,Positive,0.419444444,0.563888889,Positive,0,,0
30,Aranza Gonzalez,"In my opinion it is a really cool app but the problem is that ,imagine you just want to have peace hearing music but you cant because the 1 month premuim to download music and well i think it is pretty fair to take of the premuim and be free to download music with no need to buy premium. But i guess...\nFull Review",Rated 3 stars out of five stars,09-Apr-20,"{'neg': 0.081, 'neu': 0.635, 'pos': 0.284, 'compound': 0.9432}",0.9432,Positive,0.425,0.8375,Positive,0,,0
31,romero katrina,I really dig youtube premium because there arent any commercials and its relatively inexpensive. You can download songs to your phone for when you dont have wifi too which is sweet... the suck in the YouTube premium is the fact that i can go to play a song and the whole playlist will turn into tha...\nFull Review,Rated 4 stars out of five stars,09-Apr-20,"{'neg': 0.051, 'neu': 0.908, 'pos': 0.042, 'compound': -0.128}",-0.128,Negative,0.1875,0.3125,Positive,,0,2
32,Matt Windleborn,I feel like the interface is just not that great I use different apps like spotify and they feel more easy to use. But in saying that this has all the music YouTube has what is amazing but I wish they had different play lists like rock for you or techno for you and say on and same with new music. Li...\nFull Review,Rated 4 stars out of five stars,10-Apr-20,"{'neg': 0.03, 'neu': 0.736, 'pos': 0.234, 'compound': 0.9072}",0.9072,Positive,0.308712121,0.595359848,Positive,1,,1
