,review,classified
0,"So... Ive been testing all of the major streaming services, including Spotify, Tidal and even Huawei Music. I always come back to Deezer. I have been exploring new and old favourites, from metal to the classics, and can listen for hours. Clean interface, excellent playlists, and hi-fi sound. Perfec...\nFull Review",Strength
1,"Ao acessar op\xc3\xa7\xc3\xb5es de plano > Tim m\xc3\xbasica > Tim controle estou recebendo um erro de autentica\xc3\xa7\xc3\xa3o, segue o log da mensagem: Error 404--Not Found From RFC 2068 Hypertext Transfer Protocol -- HTTP/1.1: 10.4.5 404 Not Found The server has not found anything matching the Request-URI. No indication is giv...\nFull Review",Weakness
2,"For whatever reason, because they force you to connect to their servers periodically, Ive had my app log me out and when I try to log in again using my cell number, pushing the submit button does nothing. To move your music to your sd card, it will force you to delete and redownload it",Weakness
3,"It has been good for most of the times but right now it is very very slow. Loading a playlist take so much time I end up leaving the app and rather play a track on YouTube. Deezer is very slow! When its offline, its much faster, but if online, youll wait for years to get your playlist that you cr...\nFull Review",Strength
4,"Second time Ive subscribed to deezer and this time is so bad! Songs take forever to load, even when it says a few seconds to go, it takes ages, even searching for tracks seems to take forever, it used to be much better from what I remember. I just want an app where I can listen to tracks at the tou...\nFull Review",Strength
5,"There was a hiccup in the service, and I couldnt listen to my favourites and other playlists on shuffle. The problem seems to have been fixed now though, so here are the stars you deserve. \xf0\x9f\x99\x82 Ive used Deezer for quite a while now, and I much prefer it over Spotify. The latter would often change dr...\nFull Review",Strength
6,"Like Spotify, but a hundred times better. Made the switch from Spotify after being a subscriber for 11 years. Incredible app. Very lovely and simplistic interface (would like a car mode option, however), wonderful features. I\m happy to see that Deezer actually pays attention to the music I like. ...\nFull Review",Strength
7,"This service isnt too bad, I dont pull up Spotify nearly as much anymore other than for some of my bigger playlists that Im just to lazy to remake on this service. The phone app is a lot better than the desktop version. That being said, I think with a little more time to mature the devs will sort ...\nFull Review",Weakness
8,"There are a lot of artists and albums missing from Deezer. Also, the bottom navigation bar disappears when viewing an artist, album, or playlist. If I view an artist and then several related artists, I need to press Back multiple times before I can even access Search, Home, or my library. The sound ...\nFull Review",Weakness
9,The shuffle is horrific. It plays the same songs over and over again and never ever plays other songs in the playlist. It also has more adverts than Spotify. This is not including the unskippable sponsored tracks. The playlists that they offer are very poor. Not even offering sad as a playlist in th...\nFull Review,Strength
10,"Pretty solid but definitely not perfect. Some songs are missing lyrics option, or explisive tracks. When long pressings on a playlist / album cover art, artist profile should be able to be viewed in full screen. Sometimes app takes a long time to load up, not really acceptable. Favorite songs limits...\nFull Review",Strength
11,"Easily the worst music app. No easy way to view all tracks in your library, downloading playlist for offline mode is impossible if they have a lot of songs, app crashes a lot, audio doesnt stream well using data sometimes even when theres a strong connection. Ridiculously overpriced for such an aw...\nFull Review",Strength
