,review,classified
0,"b""Well, I have quiet a couple of problems with the application which are; 1. Most offline songs I download don't play. 2. I can't access my offline songs when I'm not connected to the internet why then is it called offline?\xf0\x9f\xa4\xa6 3. I can't control play , pause , next and previous with my earphones which ...\nFull Review""",Strength
1,"b'I gave this app a 5 star once, but I changed it to 3. I had this app a while ago and it worked amazingly good for a free music offline app. I uninstalled it after a while and tried a different app but came back to this one because it was better. After I reinstalled it, I try to download songs and it...\nFull Review'",Strength
2,"b""I love this app, especially since I don't own a large music collection! I wish this app had a few more features though. For instance, I wish you were able to repeat one song at a time. Another useful feature would be to have an Albums page on the Library page. I also wish you were able to remove son...\nFull Review""",Strength
3,"b'EDIT: amazing where they have taken this app, fixed all of the major issues so as promised, 5 \xf0\x9f\x8c\x9f :D____________________________________________ good but some song names dont match up. some song remixes not available. constant crashing. also, just found out that when putting a song on repeat you have...\nFull Review'",Opportunity
4,"b""This app is absolutely amazing, it's free and easy to use and is usable on and offline, but since the new update some of the songs I have downloaded are not playing, and need to be constantly redownload Ed in order to play, it's annoying. If that becomes fixed it would be perfect in my opinion!""",Strength
5,"b""Since the last update it has been experiencing MANY issues. I know it's free but before the most recent update it was working well enough but now when i open some apps it stops the music and when i go to the app it can't play the music after i stopped it and the music just freezes. I like the slight...\nFull Review""",Strength
6,"b""I've tried a lot of apps before and they are basically garbage, but since I downloaded this awesome app I can't stop listening to music, you can text or watch anything while listening to your favorite song. Plus you can enjoy music in every language. Honestly, this is so good!!!""",Opportunity
7,"b""GREAT! EXCELLENT. BUT I ONLY WORRY ABOUT HOW LONG WILL IT TAKE TILL DEEZER OR SPOTIFY STEAL THIS GREAT APP AND AVOID US TO LISTEN TO MUSIC. PLEASE ESOUND DON'T DO IT. SOMETHING ELSE: ENRICH YOUR PLATFORM WITH MORE MUSIC PLEASE. THANK YOU!""",Weakness
8,b'Alot of bugs. And you spend so much time creating a playlist and in a blink of an eye all that work is destroyed. It keeps crashing. Please fix this.',Opportunity
9,"b""Listen to music for free offline with pretty good quality. There are some minor issues though. Searching for music doesn't work perfectly and making all the songs to be at the same volume would be nice too. I'm currently manually adjusting the volume.""",Weakness
10,b'Like the option of no ads. But when playing the next track of an album it takes a long time to start playing. And all the music had to be shuffled which I hate.',Strength
11,"b""This app is awesome!! I'm happy i found this one. Help me lots to listen music offline anytime especially during working. Not too much ads. Easy to find music i like. Love it.""",Strength
12,"b""The only reason i gave it 4 stars instead of 5 is becuase of the many small bugs. I shouldn't be complaining though becuase its basically spotify premium for free.""",Strength
13,"b""Good app but the problem is when you pause the music when you're using headphones you have to go back in the app to play again.""",Strength
14,b'Was pefect everything was 100 percent the recent update has messed up my player where sometimes it freezes and i have to wait to switch songs. Sometimes i cant go to my playlists cause it doesnt show and sometimes it does .',Strength
15,"b""It's really good the only problem I've had with it. Is that it gets really slow sometimes and logs you out but apart from that everything is really good""",Strength
16,"b""It's a great app but sometimes the songs don't play so most of the time I have to fix the song using that option but overall it's worth downloading and its great app""",Strength
17,"b""This app is the best but the thing is when u remover the app like close all then i go back on it the music doesn't turn on like no music is coming out and that means we have to download it again the music""",Strength
18,"b""it would be a great app if i wasn't constantly experiencing problems! im not able to pause my music, when I pause, after a few seconds it stops again. it automatically stops my music if i open some apps or if it doesn't stop it, it finishes the song and doesn't go to the next one. sometimes i downlo...\nFull Review""",Strength
19,"b""Better than Spotify in my opinion, but I'm having some troubles with the play button. Sometimes it doesn't work""",Strength
20,b'could the person fix this ......when i press pause button it did not show the pause button and when i press again it did not play that is only for notifications that is all.....but the rest is good',Strength
21,b'Great app!! Some songs might not work but the developers or whoever get them working in like a day or two',Strength
22,"b'Thank you for this application. Absolutely nothing to complain about. On your website you said ""We think that eSound is special."" Tons of people including me share this view. Thanks again. A few suggestions maybe? 1. The volume does not tone down when using navigation. (unlike other music apps). 2. ...\nFull Review'",Strength
23,"b""it was amazing and it worked really well. but now more than half of the songs I have downlowed will not play. they are stuck at 00:00. only some songs work, and I see no correlation with the songs that work and the songs that don't work. I tried restarting and resetting things but that did not help....\nFull Review""",Weakness
24,"b""It takes too much download the music and when I play all music and Next day when I open the app i need to play again from begging it doesn't continue from same music where I stopped it.""",Strength
25,"b""It's cool and all. I love it because you can play music even without WiFi but the thing that bothers me is how some of the songs don't play, and sometimes a song just stops playing for no reason. That bothers me, please get it fixed. I really love this app. Much love \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x95\xe2\x9d\xa4\xef\xb8\x8f""",Opportunity
26,"b'An amazing app, does what it says Fast, reliable and downloads music offline.'",Strength
27,"b'Good however the pause, previous and nest buttons are disgustingly too large Also when playing a song of screen and opening the app again the apps controls are untouchable'",Weakness
28,"b'Great app, but confusing issue, Everythi g runs fine, it\'s amazing, bit for some reason, my favaroute song, and this is the only song I can see it happening with, called ""why"" by busted, everything I try to play it, it plays but the song that I hear is crashed the wedding, also by busted, I tried pl...\nFull Review'",Strength
